index,ds_id,imdb_id,title,budget,release_year,vote_average,vote_count,features,language
0,1865,tt1298650,Pirates of the Caribbean: On Stranger Tides,380000000,2011,6.4,5068,robmarshall johnnydepp penlopecruz sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d adventure action fantasy,en
1,285,tt0449088,Pirates of the Caribbean: At World's End,300000000,2007,6.9,4627,goreverbinski johnnydepp orlandobloom ocean drug abuse exotic island east india trading company love of ones life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger adventure fantasy action,en
2,99861,tt2395427,Avengers: Age of Ultron,280000000,2015,7.3,6908,josswhedon robertdowneyjr chrishemsworth marvel comic sequel superhero based on comic vision superhero team duringcreditsstinger marvel cinematic universe 3d action adventure science fiction,en
3,1452,tt0348150,Superman Returns,270000000,2006,5.4,1429,bryansinger brandonrouth kevinspacey saving the world dc comics invulnerability sequel superhero based on comic kryptonite super powers superhuman strength lex luthor adventure fantasy action science fiction,en
4,38757,tt0398286,Tangled,260000000,2010,7.4,3419,byronhoward mandymoore zacharylevi hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick animation family,en
5,49529,tt0401729,John Carter,260000000,2012,6.1,2170,andrewstanton taylorkitsch lynncollins based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d action adventure science fiction,en
6,335988,tt3371366,Transformers: The Last Knight,260000000,2017,6.2,1440,michaelbay markwahlberg joshduhamel knight transformers action science fiction thriller adventure,en
7,559,tt0413300,Spider-Man 3,258000000,2007,5.9,3687,samraimi tobeymaguire kirstendunst dual identity amnesia sandstorm love of ones life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge fantasy action adventure,en
8,57201,tt1210819,The Lone Ranger,255000000,2013,5.9,2361,goreverbinski johnnydepp armiehammer texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto action adventure western,en
9,767,tt0417741,Harry Potter and the Half-Blood Prince,250000000,2009,7.4,5435,davidyates danielradcliffe rupertgrint witch magic broom school of witchcraft wizardry apparition teenage crush werewolf adventure fantasy family,en
10,12444,tt0926084,Harry Potter and the Deathly Hallows: Part 1,250000000,2010,7.5,5708,davidyates danielradcliffe emmawatson corruption isolation radio magic teleportation bravery tension attack werewolf adventure fantasy family,en
11,49026,tt1345836,The Dark Knight Rises,250000000,2012,7.6,9263,christophernolan christianbale michaelcaine dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante coverup superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman action crime drama thriller,en
12,49051,tt0903624,The Hobbit: An Unexpected Journey,250000000,2012,7,8427,peterjackson ianmckellen martinfreeman riddle elves dwarves orcs middleearth tolkien hobbit mountain wizard journey ring goblin courage giant tunnel underground lake buried treasure climbing a tree invisibility ancient gnomes adventure fantasy action,en
13,57158,tt1170358,The Hobbit: The Desolation of Smaug,250000000,2013,7.6,4633,peterjackson martinfreeman ianmckellen elves dwarves orcs hobbit dragon wizard sword and sorcery adventure fantasy,en
14,127585,tt1877832,X-Men: Days of Future Past,250000000,2014,7.5,6155,bryansinger hughjackman jamesmcavoy 1970s mutant time travel marvel comic based on comic superhuman storm beast aftercreditsstinger changing the past or future action adventure fantasy science fiction,en
15,122917,tt2310332,The Hobbit: The Battle of the Five Armies,250000000,2014,7.1,4884,peterjackson martinfreeman ianmckellen corruption elves dwarves orcs middleearth tolkien hobbit dragon battle unlikely friendship epic battle sword and sorcery action adventure fantasy,en
16,271110,tt3498820,Captain America: Civil War,250000000,2016,7.1,7462,anthonyrusso chrisevans robertdowneyjr civil war war marvel comic sequel superhero based on comic imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d adventure action science fiction,en
17,209112,tt2975590,Batman v Superman: Dawn of Justice,250000000,2016,5.7,7189,zacksnyder benaffleck henrycavill dc comics vigilante superhero based on comic revenge super powers clark kent bruce wayne dc extended universe action adventure fantasy,en
18,337339,tt4630562,The Fate of the Furious,250000000,2017,6.8,3803,fgarygray vindiesel jasonstatham submarine sequel betrayal fast cars rescue mission new york city criminal mastermind mysterious woman 3d action crime thriller,en
19,140607,tt2488496,Star Wars: The Force Awakens,245000000,2015,7.5,7993,jjabrams daisyridley johnboyega android spaceship jedi imax space opera 3d action adventure science fiction fantasy,en
20,206647,tt2379713,Spectre,245000000,2015,6.3,4552,sammendes danielcraig christophwaltz spy based on novel secret agent sequel mi6 british secret service united kingdom action adventure crime,en
21,19995,tt0499549,Avatar,237000000,2009,7.2,12114,jamescameron samworthington zoesaldana culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d action adventure fantasy science fiction,en
22,166426,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,2017,6.6,2814,joachimrnning johnnydepp javierbardem sea ship sequel artifact treasure map pirate period drama monkey swashbuckler ghost caribbean trident adventure action fantasy comedy,en
23,2454,tt0499448,The Chronicles of Narnia: Prince Caspian,225000000,2008,6.3,1668,andrewadamson benbarnes williammoseley based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world adventure family fantasy,en
24,41154,tt1409024,Men in Black 3,225000000,2012,6.3,4228,barrysonnenfeld willsmith tommyleejones time travel time machine alien fictional government agency seeing the future changing history action comedy science fiction,en
25,49521,tt0770828,Man of Steel,225000000,2013,6.5,6462,zacksnyder henrycavill amyadams saving the world dc comics superhero based on comic superhuman alien invasion reboot super powers dc extended universe action adventure fantasy science fiction,en
26,24428,tt0848228,The Avengers,220000000,2012,7.4,12000,josswhedon robertdowneyjr chrisevans new york shield marvel comic superhero based on comic alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe science fiction action adventure,en
27,1930,tt0948470,The Amazing Spider-Man,215000000,2012,6.5,6734,marcwebb andrewgarfield emmastone loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger action adventure fantasy,en
28,36668,tt0376994,X-Men: The Last Stand,210000000,2006,6.3,3581,brettratner hughjackman halleberry mutant marvel comic based on comic superhuman beast cyclops aftercreditsstinger adventure action science fiction thriller,en
29,91314,tt2109248,Transformers: Age of Extinction,210000000,2014,5.8,3136,michaelbay markwahlberg stanleytucci sequel alien transformers giant robot robot imax transforming robot science fiction action adventure,en
30,44833,tt1440129,Battleship,209000000,2012,5.5,2141,peterberg taylorkitsch alexanderskarsgrd fight us navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on game aftercreditsstinger mighty mo uss missouri thriller action adventure science fiction,en
